id,score
"10","44"
"32","63"
"65","12"
"130","26"
"213","14"
"215","17"
"235","23"
"238","10"
"278","23"
"378","12"
"448","8"
"465","18"
"477","28"
"589","9"
"600","22"
"603","3"
"667","5"
"730","2"
"878","7"
"1080","13"
"1274","13"
"1281","22"
"1283","7"
"1310","11"
"1327","8"
"1537","24"
"1774","5"
"1782","4"
"1793","21"
"1812","1"
"2070","4"
"2113","22"
"2174","2"
"2231","102"
"2452","16"
"2658","1"
"2740","2"
"2770","6"
"2826","6"
"2874","6"
"2918","13"
"3078","7"
"3129","9"
"3144","19"
"3246","1"
"3290","23"
"3416","3"
"3488","8"
"3493","6"
"3574","2"
"3592","141"
"3611","78"
"3664","10"
"3681","20"
"3727","9"
"3945","14"
"4016","15"
"4143","18"
"4210","5"
"4256","8"
"4313","4"
"4410","11"
"4533","25"
"4699","10"
"4767","5"
"4910","6"
"4925","7"
"5043","2"
"5044","5"
"5085","45"
"5175","6"
"5366","5"
"5502","5"
"5523","4"
"5526","3"
"5613","5"
"5762","11"
"5812","0"
"5833","8"
"5857","0"
"5951","6"
"6562","6"
"6569","5"
"6587","3"
"6620","5"
"6641","5"
"6868","13"
"6918","3"
"6919","20"
"6940","3"
"6944","5"
"7024","6"
"7181","9"
"7236","6"
"7261","12"
"7280","4"
"7431","0"
"7587","12"
"7595","8"
"7726","33"
"7833","2"
"7840","34"
"7944","22"
"7967","2"
"8028","7"
"8072","22"
"8085","6"
"8206","7"
"8220","13"
"8225","6"
"8277","5"
"8316","7"
"8417","8"
"8518","2"
"8534","2"
"8638","4"
"8695","4"
"8786","4"
"8829","13"
"8919","7"
"9011","69"
"9031","12"
"9115","5"
"9119","5"
"9192","22"
"9372","6"
"9402","8"
"9415","26"
"9603","1"
"9663","5"
"9708","13"
"9932","0"
"9974","4"
"10044","3"
"10219","1"
"10227","33"
"10228","4"
"10404","3"
"10452","30"
"10454","5"
"10634","2"
"10867","3"
"10962","10"
"10989","11"
"11083","4"
"11112","4"
"11141","2"
"11233","1"
"11272","13"
"11299","5"
"11309","1"
"11391","21"
"11404","0"
"11441","6"
"11513","2"
"11532","1"
"11550","16"
"11655","3"
"11875","4"
"11898","2"
"11912","2"
"11930","4"
"12321","8"
"12413","2"
"12415","2"
"12446","22"
"12457","5"
"12479","3"
"12618","3"
"12654","2"
"12878","1"
"12939","5"
"13194","13"
"13279","2"
"13374","17"
"13551","1"
"13703","3"
"14098","4"
"14154","4"
"14210","-2"
"14286","7"
"14328","4"
"14396","2"
"14474","2"
"14505","43"
"14515","7"
"14613","5"
"14687","-2"
"14735","5"
"15016","4"
"15038","4"
"15048","7"
"15058","3"
"15076","355"
"15124","1"
"15163","3"
"15255","19"
"15298","4"
"15301","3"
"15355","-3"
"15585","15"
"15638","3"
"15797","3"
"15909","1"
"15953","2"
"15973","4"
"16023","5"
"16175","5"
"16214","1"
"16264","0"
"16345","3"
"16351","5"
"16449","26"
"16537","5"
"16581","17"
"16612","1"
"16644","4"
"16679","4"
"16706","13"
"16737","3"
"16782","6"
"16908","12"
"16996","1"
"17054","2"
"17079","4"
"17127","2"
"17210","3"
"17273","1"
"17276","5"
"17318","3"
"17364","2"
"17487","10"
"17517","1"
"17536","2"
"17633","0"
"17638","2"
"17971","4"
"18047","4"
"18054","3"
"18066","2"
"18166","3"
"18225","45"
"18249","8"
"18321","3"
"18328","8"
"18726","16"
"18775","3"
"18875","18"
"18878","47"
"18959","1"
"18974","1"
"19156","5"
"19209","-1"
"19294","9"
"19326","14"
"19330","2"
"19406","2"
"19623","4"
"19638","17"
"19910","3"
"19915","18"
"19979","5"
"19981","3"
"19999","6"
"20028","3"
"20159","8"
"20253","2"
"20343","3"
"20349","4"
"20381","1"
"20429","2"
"20465","2"
"20507","1"
"20535","0"
"20688","4"
"20691","1"
"20719","3"
"20778","21"
"20786","3"
"20857","3"
"20928","2"
"20939","3"
"20974","6"
"21057","5"
"21088","3"
"21118","2"
"21140","3"
"21149","6"
"21253","3"
"21278","3"
"21327","8"
"21362","4"
"21541","-5"
"22564","5"
"22808","6"
"22828","5"
"23140","1"
"23190","16"
"23202","2"
"23364","3"
"23482","0"
"23493","1"
"23564","2"
"23621","1"
"23690","26"
"23741","3"
"23787","14"
"23906","8"
"23957","0"
"24121","5"
"24141","1"
"24153","0"
"24163","17"
"24195","162"
"24209","3"
"24385","0"
"24400","16"
"24410","27"
"24420","4"
"24482","3"
"24592","12"
"24697","2"
"24751","1"
"24845","1"
"24847","1"
"24891","3"
"24935","2"
"25046","3"
"25119","1"
"25189","-1"
"25419","3"
"25449","2"
"25557","20"
"25667","16"
"25798","11"
"25966","2"
"26287","5"
"26394","1"
"26496","6"
"26551","8"
"26627","5"
"26690","2"
"26739","2"
"27874","0"
"29040","3"
"29068","7"
"29338","0"
"29517","0"
"29642","30"
"29742","30"
"29749","0"
"29798","2"
"30071","5"
"30082","2"
"30091","21"
"30140","1"
"30191","-1"
"30280","8"
"30352","7"
"30432","2"
"30560","13"
"30584","1"
"30630","1"
"30631","3"
"30680","4"
"30719","1"
"30754","41"
"30896","1"
"30980","4"
"31076","2"
"31168","9"
"31201","0"
"31213","7"
"31232","5"
"31273","0"
"31286","1"
"31306","15"
"31320","9"
"31415","1"
"31424","4"
"31461","0"
"31566","1"
"31659","49"
"31748","21"
"31755","1"
"31828","0"
"31870","3"
"31946","6"
"31999","22"
"32058","12"
"32092","6"
"32303","-2"
"32308","100"
"32500","7"
"32596","3"
"32612","2"
"32758","4"
"32759","2"
"32833","2"
"32862","10"
"32879","-2"
"32928","38"
"33009","1"
"33017","9"
"33062","-1"
"33106","2"
"33135","4"
"33235","4"
"33270","1"
"33323","18"
"33326","17"
"33523","8"
"33581","5"
"33613","2"
"33639","5"
"33688","9"
"33741","6"
"33873","12"
"33895","-1"
"33925","0"
"34009","5"
"34088","13"
"34096","-2"
"34136","4"
"34312","-4"
"34427","11"
"34498","1"
"34562","6"
"34606","1"
"34635","5"
"34655","9"
"34676","4"
"34804","16"
"34805","7"
"34850","0"
"34909","4"
"34986","1"
"35060","-6"
"35061","13"
"35075","2"
"35155","4"
"35317","0"
"35356","5"
"35369","9"
"35395","11"
"35420","9"
"35515","4"
"35591","-11"
"35652","2"
"35712","5"
"35758","4"
"35773","17"
"35803","2"
"35845","4"
"35883","11"
"35904","6"
"35944","4"
"36447","54"
"36475","-1"
"36484","-1"
"36538","9"
"36565","1"
"36616","3"
"36668","3"
"36769","0"
"36849","2"
"36934","3"
"37362","4"
"37484","10"
"37749","8"
"37832","35"
"37921","3"
"37937","-2"
"37980","8"
"38070","6"
"38131","0"
"38192","4"
"38199","27"
"38395","2"
"38406","8"
"38490","3"
"38509","2"
"38519","1"
"38550","0"
"38580","8"
"38705","0"
"38801","13"
"38880","-3"
"38893","6"
"39050","1"
"39054","15"
"39303","3"
"39468","2"
"39608","7"
"39671","0"
"39735","3"
"39736","2"
"39818","9"
"39889","1"
"39897","0"
"39898","2"
"39995","8"
"40074","8"
"40170","0"
"40257","7"
"40330","2"
"40427","1"
"40453","-1"
"40715","3"
"40784","3"
"40811","3"
"40904","1"
"41050","-3"
"41170","2"
"41207","7"
"41290","3"
"41401","-2"
"41410","1"
"41411","0"
"41445","2"
"41596","3"
"41890","0"
"41941","34"
"41961","5"
"41971","7"
"42028","0"
"42199","3"
"42315","3"
"42318","6"
"42345","1"
"42516","1"
"42527","4"
"42531","-7"
"42550","5"
"42616","3"
"42640","0"
"42756","3"
"42779","18"
"42904","4"
"42959","-1"
"43091","4"
"43125","3"
"43169","2"
"43392","3"
"43436","14"
"43489","0"
"43528","7"
"43585","11"
"43639","50"
"43703","0"
"43706","2"
"43784","1"
"43902","1"
"44055","2"
"44093","0"
"44208","24"
"44231","6"
"44291","5"
"44298","5"
"44339","5"
"44418","16"
"44509","6"
"44518","8"
"44531","0"
"44630","4"
"44689","3"
"44750","35"
"44840","1"
"44982","0"
"44983","0"
"45002","4"
"45112","26"
"45206","3"
"45209","9"
"45332","5"
"45468","0"
"45474","2"
"45564","2"
"45639","6"
"45648","0"
"45667","0"
"45689","0"
"45735","0"
"45761","0"
"45787","2"
"45860","7"
"45864","3"
"45910","0"
"46008","0"
"46066","5"
"46192","1"
"46193","1"
"46248","3"
"46403","5"
"46457","1"
"46682","5"
"46721","1"
"46739","3"
"46773","-1"
"46816","2"
"46826","1"
"46885","1"
"46894","0"
"47089","1"
"47104","0"
"47253","3"
"47539","1"
"47646","2"
"47650","1"
"47684","11"
"47717","5"
"47807","5"
"47869","1"
"47920","2"
"47937","1"
"48013","0"
"48157","0"
"48166","3"
"48262","2"
"48323","1"
"48415","3"
"48511","16"
"48523","3"
"48587","1"
"48611","9"
"48615","0"
"48621","0"
"48637","2"
"48692","5"
"48938","4"
"49185","22"
"49315","9"
"49487","0"
"49512","3"
"49539","1"
"49849","21"
"49852","16"
"51021","0"
"51031","1"
"51071","9"
"51105","4"
"51127","0"
"51188","0"
"51226","3"
"51236","3"
"51259","5"
"51282","-1"
"51295","1"
"51312","1"
"51410","-1"
"51420","-3"
"51427","1"
"51601","3"
"51628","2"
"51629","0"
"51630","1"
"51715","0"
"51788","5"
"51797","1"
"51916","1"
"51939","3"
"52053","11"
"52060","1"
"52104","3"
"52106","1"
"52168","0"
"52224","7"
"52347","0"
"52489","2"
"52558","1"
"52663","0"
"52670","2"
"52727","-5"
"52782","0"
"52785","1"
"52788","0"
