id,score
"13760","9"
"13798","1"
"13821","5"
"13841","1"
"13862","5"
"13863","1"
"13955","5"
"13992","4"
"14025","50"
"14029","0"
"14038","6"
"14046","2"
"14102","0"
"14112","5"
"14134","3"
"14142","49"
"14152","4"
"14215","5"
"14216","4"
"14222","-1"
"14249","0"
"14255","-3"
"14256","0"
"14305","19"
"14465","4"
"14516","5"
"14534","-1"
"14569","0"
"14635","-2"
"14709","11"
"14713","5"
"14714","0"
"14717","-1"
"14727","2"
"14738","2"
"14739","2"
"14757","6"
"14763","4"
"14820","1"
"14843","10"
"14864","2"
"14881","13"
"14890","6"
"14894","-1"
"14898","0"
"14906","5"
"14940","4"
"14982","1"
"15014","1"
"15059","4"
"15066","1"
"15075","9"
"15102","2"
"15108","6"
"15116","1"
"15202","2"
"15207","3"
"15214","82"
"15235","5"
"15260","2"
"15262","5"
"15272","6"
"15315","10"
"15335","2"
"15349","1"
"15368","6"
"15394","-2"
"15436","6"
"15446","8"
"15471","3"
"15475","2"
"15484","1"
"15491","8"
"15502","3"
"15595","4"
"15599","7"
"15617","45"
"15621","6"
"15641","-1"
"15694","7"
"15722","1"
"15726","3"
"15741","9"
"15743","1"
"15744","5"
"15765","31"
"15813","3"
"15830","0"
"15881","1"
"15903","1"
"15934","15"
"15939","5"
"15943","-1"
"15958","4"
"15961","0"
"15968","2"
"16133","0"
"16158","1"
"16164","3"
"16165","1"
"16169","0"
"16183","2"
"16187","4"
"16204","9"
"16227","0"
"16236","3"
"16247","13"
"16258","4"
"16287","4"
"16291","4"
"16353","4"
"16361","8"
"16380","0"
"16411","2"
"16422","2"
"16426","-1"
"16486","5"
"16496","3"
"16500","4"
"16535","3"
"16546","2"
"16560","1"
"16564","12"
"16588","-3"
"16607","2"
"16624","2"
"16651","0"
"16676","2"
"16685","20"
"16692","2"
"16731","5"
"16733","2"
"16747","4"
"16796","3"
"16806","8"
"16903","4"
"16958","6"
"16980","-1"
"17066","3"
"17067","0"
"17075","4"
"17095","2"
"17172","2"
"17179","5"
"17187","9"
"17234","4"
"17316","3"
"17393","1"
"17399","3"
"17407","32"
"17412","12"
"17430","4"
"17448","1"
"17491","4"
"17510","-1"
"17516","6"
"17524","2"
"17551","2"
"17562","4"
"17565","6"
"17593","1"
"17598","1"
"17632","4"
"17635","1"
"17698","33"
"17720","4"
"17721","-1"
"17755","1"
"17847","7"
"17852","26"
"17862","-1"
"17899","1"
"17930","2"
"17932","2"
"17965","1"
"17998","3"
"18007","18"
"18011","2"
"18018","2"
"18022","1"
"18035","8"
"18043","10"
"18061","-1"
"18077","4"
"18086","54"
"18087","21"
"18124","3"
"18133","0"
"18154","5"
"18162","5"
"18167","0"
"18168","0"
"18185","1"
"18195","1"
"18207","10"
"18217","1"
"18275","10"
"18310","1"
"18327","7"
"18330","1"
"18347","10"
"18398","5"
"18494","1"
"18505","12"
"18533","3"
"18563","3"
"18608","2"
"18663","9"
"18680","22"
"18694","8"
"18720","25"
"18739","-4"
"18819","2"
"18936","9"
"18978","0"
"19007","13"
"19033","6"
"19128","13"
"19147","2"
"19152","2"
"19176","0"
"19193","3"
"19214","6"
"19276","10"
"19290","2"
"19302","9"
"19309","3"
"19319","10"
"19373","20"
"19387","1"
"19419","2"
"19436","38"
"19448","3"
"19457","8"
"19469","1"
"19471","5"
"19524","7"
"19526","5"
"19565","16"
"19567","-4"
"19631","5"
"19644","4"
"19694","15"
"19698","12"
"19714","23"
"19718","9"
"19749","4"
"19751","6"
"19756","3"
"19778","3"
"19790","9"
"19864","3"
"19868","3"
"19872","1"
"19911","291"
"19949","8"
"19980","7"
"19988","6"
"20004","5"
"20015","6"
"20022","21"
"20045","7"
"20095","5"
"20105","65"
"20108","2"
"20135","6"
"20140","8"
"20147","9"
"20163","3"
"20166","2"
"20168","3"
"20187","41"
"20201","3"
"20209","4"
"20216","21"
"20224","6"
"20242","7"
"20261","6"
"20371","20"
"20395","-1"
"20402","-1"
"20404","6"
"20406","46"
"20413","10"
"20422","6"
"20438","3"
"20481","3"
"20497","88"
"20521","2"
"20525","0"
"20530","0"
"20558","1"
"20645","0"
"20659","4"
"20661","1"
"20684","5"
"20693","3"
"20696","0"
"20703","22"
"20707","2"
"20744","5"
"20766","3"
"20787","10"
"20806","33"
"20828","1"
"20839","9"
"20845","1"
"20859","4"
"20871","10"
"20872","2"
"20874","4"
"20903","4"
"20904","5"
"20948","11"
"20951","22"
"20995","9"
"21003","11"
"21005","6"
"21067","10"
"21073","5"
"21114","1"
"21137","9"
"21177","2"
"21205","5"
"21225","1"
"21237","4"
"21247","3"
"21269","5"
"21297","9"
"21301","2"
"21305","29"
"21313","4"
"21375","0"
"21383","3"
"21413","62"
"21420","7"
"21523","3"
"21534","3"
"22651","0"
"22671","7"
"22703","2"
"22752","3"
"22768","5"
"22783","11"
"22795","7"
"22806","2"
"22809","16"
"22865","2"
"22903","96"
"22906","13"
"22925","13"
"22937","1"
"22953","1"
"22972","8"
"22985","2"
"22989","19"
"23007","5"
"23032","2"
"23039","7"
"23086","2"
"23097","6"
"23101","11"
"23133","1"
"23178","3"
"23191","7"
"23235","-1"
"23294","3"
"23302","5"
"23315","6"
"23322","18"
"23329","7"
"23334","24"
"23371","70"
"23382","7"
"23433","4"
"23438","28"
"23452","19"
"23454","1"
"23459","6"
"23474","1"
"23507","5"
"23519","9"
"23521","5"
"23592","0"
"23598","4"
"23612","8"
"23627","27"
"23632","1"
"23664","2"
"23673","-2"
"23683","4"
"23734","22"
"23778","-5"
"23794","5"
"23801","6"
"23809","2"
"23843","3"
"23850","6"
"23862","4"
"23914","1"
"24023","1"
"24044","11"
"24055","3"
"24084","4"
"24112","2"
"24130","4"
"24139","2"
"24164","-1"
"24166","11"
"24178","6"
"24227","-1"
"24277","8"
"24338","2"
"24384","3"
"24436","2"
"24444","66"
"24518","0"
"24538","2"
"24543","6"
"24567","0"
"24613","3"
"24647","4"
"24657","1"
"24662","2"
"24675","1"
"24729","1"
"24773","6"
"24803","4"
"24832","1"
"24863","4"
"24908","7"
"24923","2"
"24947","4"
"24990","2"
"25001","9"
"25036","2"
"25080","1"
"25088","1"
"25100","3"
"25132","5"
"25162","0"
"25219","9"
"25260","6"
"25282","16"
"25319","3"
"25444","7"
"25472","6"
"25473","4"
"25475","2"
"25490","0"
"25491","0"
"25494","3"
"25520","2"
"25530","3"
"25578","4"
"25635","-3"
"25647","2"
"25661","1"
"25689","9"
"25769","3"
"25855","3"
"25874","2"
"25884","3"
"25894","2"
"25897","0"
"25900","21"
"25915","3"
"25939","4"
"25941","-2"
"25958","8"
"25979","1"
"26027","3"
"26047","2"
"26062","4"
"26092","2"
"26142","15"
"26197","1"
"26223","5"
"26226","4"
"26242","5"
"26272","3"
"26278","2"
"26307","22"
"26319","5"
"26347","18"
"26390","7"
"26400","1"
"26446","3"
"26459","21"
"26469","8"
"26486","3"
"26531","2"
"26560","2"
"26561","1"
"26598","14"
"26615","5"
"26660","9"
"26685","6"
"26696","6"
"27769","6"
"27770","4"
"27782","4"
"27805","52"
"27829","4"
"27831","1"
"27849","11"
"27862","6"
"27885","3"
"27897","10"
"27904","3"
"27913","2"
"27933","2"
"27934","5"
"27939","5"
"27958","7"
"27964","0"
"27988","3"
"29014","6"
"29082","3"
"29170","12"
"29220","10"
"29226","2"
"29251","2"
"29292","0"
"29296","1"
"29324","3"
"29355","3"
"29387","2"
"29388","3"
"29407","4"
"29429","4"
"29460","8"
"29499","5"
"29515","4"
"29557","2"
"29622","2"
"29635","1"
"29735","2"
"29748","4"
"29824","5"
"29902","4"
"29930","3"
"29936","1"
"29937","4"
"29974","1"
"29982","19"
"29992","7"
"30002","4"
"30046","10"
"30096","7"
"30133","4"
"30135","9"
"30203","1"
"30289","0"
"30320","16"
"30323","0"
"30329","0"
"30330","6"
"30336","2"
"30362","47"
"30365","5"
"30431","2"
"30471","1"
"30499","4"
"30508","-1"
"30519","8"
"30527","2"
"30575","5"
"30694","2"
"30697","6"
"30701","-1"
"30743","8"
"30782","7"
"30818","3"
"30833","9"
"30893","5"
"30898","4"
"30919","6"
"30940","4"
"30949","5"
"30998","6"
"31001","3"
"31027","1"
"31043","0"
"31065","2"
"31100","6"
"31122","4"
"31162","2"
"31183","8"
"31204","4"
"31247","0"
"31248","1"
"31289","1"
"31315","2"
"31337","21"
"31368","0"
"31370","5"
"31388","4"
"31404","3"
"31460","0"
"31511","4"
"31549","18"
"31560","7"
"31573","2"
"31576","0"
"31606","15"
"31636","-2"
"31637","2"
"31653","5"
"31683","4"
"31696","6"
"31705","7"
"31813","8"
"31826","5"
"31843","5"
"31872","0"
"31933","4"
"31975","12"
"32012","3"
"32036","7"
"32047","1"
"32063","1"
"32105","2"
"32123","23"
"32143","4"
"32171","1"
"32185","0"
"32236","0"
"32268","0"
"32285","23"
"32288","2"
"32334","6"
"32345","2"
"32347","9"
"32353","5"
"32372","2"
"32451","1"
"32510","7"
"32521","1"
"32526","3"
"32529","10"
"32532","2"
"32568","3"
"32574","12"
"32595","2"
"32616","7"
"32640","2"
"32641","1"
"32645","13"
"32672","-1"
"32677","0"
"32719","0"
"32730","14"
"32761","6"
"32805","0"
"32837","2"
"32902","16"
"32953","2"
"32964","2"
"32987","2"
"33006","1"
"33020","3"
"33050","9"
"33064","4"
"33104","3"
"33114","2"
"33142","8"
"33148","8"
"33161","2"
"33189","-1"
"33212","0"
"33257","11"
"33273","5"
"33293","2"
"33294","2"
"33308","2"
"33314","8"
"33343","2"
"33352","0"
"33410","29"
"33428","47"
