id,ncomments
"36475","7"
"36484","3"
"36538","1"
"36565","4"
"36616","0"
"36668","3"
"36769","1"
"36849","0"
"36934","2"
"37362","4"
"37484","1"
"37749","4"
"37832","5"
"37921","0"
"37937","10"
"37980","1"
"38070","1"
"38131","1"
"38192","1"
"38199","3"
"38395","0"
"38406","1"
"38490","2"
"38509","4"
"38519","2"
"38550","0"
"38580","0"
"38705","4"
"38801","11"
"38880","1"
"38893","3"
"39050","0"
"39054","3"
"39303","0"
"39468","2"
"39608","6"
"39671","2"
"39735","2"
"39736","7"
"39818","0"
"39889","0"
"39897","1"
"39898","4"
"39995","0"
"40074","1"
"40170","1"
"40257","6"
"40330","3"
"40427","4"
"40453","2"
"40715","5"
"40784","7"
"40811","7"
"40904","1"
"41050","4"
"41170","2"
"41207","1"
"41290","0"
"41401","0"
"41410","4"
"41411","6"
"41445","0"
"41596","0"
"41890","1"
"41941","0"
"41961","3"
"41971","1"
"42028","2"
"42199","0"
"42315","3"
"42318","3"
"42345","3"
"42516","4"
"42527","0"
"42531","5"
"42550","0"
"42616","0"
"42640","3"
"42756","4"
"42779","2"
"42904","0"
"42959","0"
"43091","1"
"43125","0"
"43169","2"
"43392","4"
"43436","0"
"43489","2"
"43528","1"
"43585","1"
"43639","1"
"43703","0"
"43706","1"
"43784","0"
"43902","1"
"44055","2"
"44093","4"
"44208","0"
"44231","0"
"44291","0"
"44298","0"
"44339","2"
"44418","4"
"44509","0"
"44518","2"
"44531","0"
"44630","4"
"44689","0"
"44750","2"
"44840","0"
"44982","5"
"44983","1"
"45002","6"
"45112","7"
"45206","2"
"45209","3"
"45332","0"
"45468","2"
"45474","4"
"45564","0"
"45639","4"
"45648","1"
"45667","0"
"45689","0"
"45735","0"
"45761","8"
"45787","1"
"45860","4"
"45864","0"
"45910","2"
"46008","1"
"46066","2"
"46192","2"
"46193","1"
"46248","0"
"46403","0"
"46457","0"
"46682","0"
"46721","0"
"46739","0"
"46773","0"
"46816","1"
"46826","0"
"46885","6"
"46894","7"
"47089","8"
"47104","0"
"47253","2"
"47539","6"
"47646","3"
"47650","0"
"47684","4"
"47717","0"
"47807","1"
"47869","11"
"47920","0"
"47937","0"
"48013","0"
"48157","2"
"48166","2"
"48262","3"
"48323","6"
"48415","5"
"48511","1"
"48523","2"
"48587","0"
"48611","0"
"48615","0"
"48621","1"
"48637","2"
"48692","0"
"48938","1"
"49185","1"
"49315","1"
"49487","3"
"49512","3"
"49539","2"
"49849","4"
"49852","0"
"51021","3"
"51031","2"
"51071","0"
"51105","1"
"51127","1"
"51188","2"
"51226","3"
"51236","0"
"51259","0"
"51282","1"
"51295","1"
"51312","0"
"51410","1"
"51420","2"
"51427","0"
"51601","2"
"51628","1"
"51629","0"
"51630","0"
"51715","0"
"51788","2"
"51797","1"
"51916","0"
"51939","0"
"52053","2"
"52060","0"
"52104","0"
"52106","1"
"52168","0"
"52224","11"
"52347","1"
"52489","0"
"52558","1"
"52663","0"
"52670","0"
"52727","1"
"52782","2"
"52785","3"
"52788","0"
"52815","0"
"52843","8"
"52868","1"
"53075","1"
"53197","0"
"53218","3"
"53233","4"
"53333","1"
"53354","0"
"53389","0"
"53454","5"
"53469","9"
"53504","4"
"53564","0"
"53588","0"
"53849","0"
"53937","0"
"54158","6"
"54198","10"
"54312","2"
"54368","6"
"54400","1"
"54407","0"
"54409","4"
"54426","4"
"54573","3"
"54626","2"
"54684","1"
"54814","2"
"54879","1"
"54897","1"
"54926","1"
"54949","2"
"54978","0"
"55042","1"
"55048","1"
"55236","4"
"55279","4"
"55314","1"
"55422","3"
"55583","0"
"55630","0"
"55823","3"
"55958","4"
"56007","1"
"56061","0"
"56089","7"
"56120","1"
"56253","3"
"56324","0"
"56467","3"
"56475","1"
"56549","2"
"56619","0"
"56640","1"
"56717","0"
"56857","0"
"56872","0"
"56910","1"
"56931","0"
"56944","7"
"56968","2"
"57006","1"
"57027","0"
"57102","1"
"57236","0"
"57275","2"
"57374","0"
"57375","0"
"57612","0"
"57614","1"
"57646","16"
"57681","0"
"57832","6"
"57868","3"
"57878","6"
"57969","1"
"58094","9"
"58415","0"
"58431","0"
"58534","0"
"58725","0"
"58744","0"
"58765","4"
"58777","0"
"58909","2"
"58911","0"
"58971","0"
"59120","1"
"59128","0"
"59143","0"
"59274","0"
"59396","0"
"59418","5"
"59423","4"
"59473","1"
"59521","1"
"59594","0"
"60726","3"
"60734","8"
"60744","1"
"60750","0"
"60888","1"
"60913","1"
"60924","2"
"61122","0"
"61286","2"
"61318","0"
"61364","0"
"61371","4"
"61399","1"
"61404","1"
"61427","1"
"61473","5"
"61623","2"
"61653","1"
"61785","0"
"61794","9"
"61948","5"
