id,ncomments
"1","1"
"2","0"
"7","0"
"75","2"
"97","3"
"114","2"
"117","0"
"162","0"
"163","0"
"164","23"
"183","3"
"241","4"
"244","0"
"245","0"
"249","1"
"259","0"
"264","1"
"276","0"
"277","0"
"290","4"
"312","0"
"369","0"
"377","2"
"380","0"
"381","0"
"382","3"
"387","2"
"397","1"
"398","0"
"416","0"
"437","0"
"438","0"
"486","0"
"515","2"
"553","0"
"580","0"
"595","0"
"627","1"
"645","2"
"675","2"
"807","0"
"829","3"
"847","0"
"854","5"
"978","0"
"1009","0"
"1044","9"
"1062","1"
"1063","3"
"1068","2"
"1069","3"
"1070","0"
"1108","0"
"1166","2"
"1180","2"
"1225","2"
"1238","4"
"1257","0"
"1262","2"
"1322","3"
"1344","3"
"1362","5"
"1368","3"
"1427","3"
"1463","0"
"1577","0"
"1621","0"
"1653","1"
"1680","6"
"1707","0"
"1735","4"
"1766","4"
"1906","5"
"1961","0"
"2003","3"
"2010","0"
"2013","5"
"2021","6"
"2022","2"
"2023","2"
"2028","0"
"2078","1"
"2087","5"
"2091","0"
"2092","3"
"2099","0"
"2120","3"
"2178","0"
"2226","0"
"2243","3"
"2257","0"
"2330","7"
"2342","0"
"2372","0"
"2403","2"
"2405","0"
"2503","0"
"2517","0"
"2525","1"
"2552","4"
"2581","2"
"2582","0"
"2592","2"
"2631","1"
"2703","5"
"2715","1"
"2804","0"
"2837","0"
"2963","5"
"2982","1"
"2985","0"
"3001","0"
"3004","0"
"3034","0"
"3056","3"
"3085","1"
"3142","0"
"3165","2"
"3174","2"
"3406","2"
"3460","0"
"3521","0"
"3543","0"
"3584","1"
"3600","0"
"3601","5"
"3606","0"
"3640","4"
"3674","1"
"3694","3"
"3707","0"
"3763","0"
"3787","1"
"3844","2"
"3848","4"
"3879","0"
"3889","0"
"3949","0"
"4104","3"
"4193","0"
"4196","1"
"4213","1"
"4217","1"
"4248","2"
"4253","1"
"4254","3"
"4309","7"
"4354","1"
"4420","5"
"4436","0"
"4471","6"
"4503","4"
"4524","2"
"4530","3"
"4536","1"
"4555","9"
"4570","0"
"4667","2"
"4752","1"
"4758","4"
"4796","0"
"4824","0"
"4841","0"
"4859","1"
"4981","0"
"5020","4"
"5033","0"
"5067","1"
"5084","0"
"5091","1"
"5107","1"
"5119","1"
"5132","0"
"5182","0"
"5212","0"
"5227","4"
"5244","4"
"5266","0"
"5310","0"
"5414","3"
"5440","0"
"5441","0"
"5467","1"
"5505","6"
"5514","3"
"5637","0"
"5644","2"
"5763","1"
"5786","2"
"5817","1"
"5835","0"
"5847","2"
"5860","2"
"5869","4"
"5883","3"
"5897","1"
"5932","0"
"5949","2"
"6020","0"
"6077","0"
"6204","0"
"6236","0"
"6259","0"
"6329","0"
"6411","0"
"6465","0"
"6478","1"
"6510","2"
"6530","0"
"6535","0"
"6550","1"
"6666","4"
"6694","0"
"6753","1"
"6756","2"
"6827","0"
"6842","9"
"6904","2"
"6946","0"
"6957","0"
"6998","1"
"7062","3"
"7080","0"
"7084","6"
"7204","3"
"7256","0"
"7277","0"
"7434","5"
"7519","0"
"7553","2"
"7641","8"
"7687","1"
"7697","0"
"7703","0"
"7705","2"
"7720","1"
"7776","1"
"7802","3"
"7849","7"
"7860","1"
"7870","0"
"7911","1"
"7920","2"
"7938","0"
"7961","1"
"8033","0"
"8066","1"
"8074","0"
"8099","0"
"8113","0"
"8155","1"
"8174","0"
"8181","3"
"8201","1"
"8303","0"
"8310","2"
"8427","6"
"8445","1"
"8446","1"
"8456","0"
"8573","0"
"8587","2"
"8602","4"
"8610","0"
"8621","3"
"8663","0"
"8711","2"
"8733","2"
"8744","2"
"8749","0"
"8757","0"
"8761","0"
"8785","0"
"8798","14"
"8803","1"
"8857","2"
"8865","0"
"8867","0"
"8873","0"
"8895","0"
"8896","0"
"8945","0"
"9095","5"
"9096","0"
"9106","0"
"9113","0"
"9133","1"
"9156","0"
"9230","3"
"9237","1"
"9263","4"
"9272","2"
"9348","1"
"9440","3"
"9453","1"
"9461","6"
"9470","0"
"9561","0"
"9623","1"
"9628","8"
"9668","2"
"9682","0"
"9763","0"
"9781","0"
"9810","0"
"9831","0"
"9908","0"
"9916","3"
"9935","0"
"9945","4"
"9967","0"
"9973","0"
"9980","0"
"9981","0"
"10000","2"
"10006","0"
"10011","0"
"10029","0"
"10032","0"
"10035","0"
"10071","3"
"10106","0"
"10109","1"
"10156","2"
"10201","4"
"10251","0"
"10270","0"
"10277","0"
"10292","0"
"10378","0"
"10386","0"
"10415","0"
"10446","0"
"10485","0"
"10535","5"
"10549","0"
"10551","0"
"10553","2"
"10554","4"
"10615","0"
"10646","0"
"10657","0"
"10691","0"
"10694","0"
"10722","2"
"10728","5"
"10729","1"
"10736","0"
"10825","5"
"10838","3"
"10847","0"
"10854","1"
"10857","2"
"10866","2"
"10898","0"
"10929","5"
"10974","2"
"11066","0"
"11098","1"
"11103","0"
"11140","1"
"11163","0"
"11170","2"
"11234","8"
"11263","1"
"11298","0"
"11317","1"
"11355","0"
"11363","1"
"11369","0"
"11376","0"
"11384","0"
"11393","0"
"11397","1"
"11398","0"
"11427","1"
"11444","4"
"11447","1"
"11540","0"
"11555","1"
"11606","1"
"11621","0"
"11623","0"
"11632","1"
"11658","0"
"11662","0"
"11737","0"
"11756","0"
"11768","1"
"11788","0"
"11794","2"
"11810","0"
"11840","2"
"11842","0"
"11860","4"
"11868","0"
"11893","0"
"11911","0"
"11917","1"
"11968","0"
"11972","2"
"11974","1"
"11985","2"
"11986","2"
"11995","5"
"12041","12"
"12066","1"
"12101","0"
"12131","2"
"12133","0"
"12153","1"
"12164","7"
"12178","0"
"12194","2"
"12313","1"
"12401","0"
"12402","1"
"12405","0"
"12428","5"
"12434","0"
"12482","3"
"12512","2"
"12546","2"
"12555","6"
"12568","0"
"12593","6"
"12596","3"
"12624","2"
"12684","0"
"12686","2"
"12699","2"
"12729","0"
"12792","2"
"12816","0"
"12836","0"
"12846","1"
"12857","1"
"12896","0"
"12899","0"
"12933","0"
"13039","0"
"13059","1"
"13120","0"
"13192","0"
"13235","1"
"13243","0"
"13286","3"
"13372","0"
"13375","2"
"13432","0"
"13446","0"
"13464","4"
"13496","1"
"13537","1"
"13543","0"
"13570","3"
"13618","0"
"13639","1"
"13652","2"
"13658","1"
"13698","0"
"13731","0"
"13760","3"
"13798","1"
"13821","2"
"13841","5"
"13862","0"
"13863","3"
"13955","0"
"13992","2"
"14025","0"
"14029","1"
"14038","1"
"14046","5"
"14102","0"
"14112","2"
"14134","0"
"14142","0"
"14152","0"
"14215","5"
"14216","0"
"14222","1"
"14249","0"
"14255","3"
"14256","0"
"14305","0"
"14465","3"
"14516","0"
