Id,ParentId,OwnerUserId
"5952","5509","501"
"16484","16473","267"
"16486","16473","17"
"16489","16473","1367"
"16498","16473","1659"
"16516","16473","380"
"19784","19773","60"
"19794","19773","1450"
"20056","20047","35"
"20094","20047","383"
"20101","20047","1436"
"20105","20047","1497"
"20143","20047","791"
"20147","20047","1436"
"20172","20047","1107"
"20204","20047","1958"
"20224","20047","2308"
"20393","20386","35"
"20416","20386","1799"
"20419","20386","872"
"20423","20386","67"
"20431","20386","905"
"20469","20386","1143"
"20473","20047","5"
"20532","20510","77"
"20578","20510","1432"
"20595","20510","2310"
"20645","20510","1109"
"20727","20047","357"
"21158","20047","2"
"21438","20047","1219"
"21927","20047","2199"
"22019","20047","993"
"24079","20386","49"
"25747","25730","1709"
"25828","25730","45603"
"25831","25730","891"
"26558","20047","2862"
"26621","20047","82208"
"27617","20047","49"
"33532","33529","71"
"33541","33529","633"
"33887","33529","1690"
"34520","34512","905"
"34522","34512","317"
"34546","34512","2284"
"34603","34512","2973"
"36880","36877","137"
"36882","36877","1585"
"36883","36877","2098"
"36885","36877","1820"
"40124","40119","122"
"40138","40119","3776"
"40146","40119","4165"
"40214","40119","2710"
"40215","40119","3474"
"40285","40119","2586"
"40597","34512","4285"
"44137","44080","77"
"44180","44080","3244"
"44480","44080","77"
"47745","47707","2274"
"49944","5509","455552"
"52582","52566","4337"
"52594","52566","740"
"55377","36877","5674"
"56031","40119","4208"
"60521","60518","2915"
"60526","60518","5023"
"60528","60518","533"
"63029","62923","7176"
"63518","62923","7735"
"63603","20510","2587612"
"64538","64432","8724"
"65073","64432","8823"
"69588","69565","9706"
"69600","69565","4761"
"72772","64432","366182"
"73705","64432","7436"
"75926","20047","13484"
"76441","76408","115"
"76470","76408","9232"
"76495","76408","4727"
"76508","76408","13138"
"76546","76408","12523"
"76889","76408","13699"
"77717","76408","9410"
"78103","76408","13165"
"78106","76408","14260"
"78134","64432",""
"78561","76408","5674"
"78990","78900","6043"
"81217","52566","12042"
"81892","5509","2387"
"89130","89112","14484"
"89133","89112","4337"
"89135","89112","5324"
"89164","89112","3146"
"89166","89112","1624"
"100871","100832","1994377"
"108101","108057","12631"
"108105","108057","9192"
"109485","100832","16524"
"117519","117461","20686"
"117526","117461","17440"
"117542","117461","15955"
"117670","117461","7756"
"117808","117461","9825"
"117858","117461","11173"
"122885","122877","9232"
"122903","122877","14065"
"122910","122877","5243"
"122911","122877","9530"
"122936","122877","13820"
"122939","122877","9493"
"122940","122877","4761"
"123027","122877","2974"
"124758","124745","14648"
"124760","124745","5042"
"124762","124745","3153"
"124768","124745","4086"
"124782","124745","11694"
"124830","124745","21450"
"124939","124745","13578"
"126708","89112","11287"
"140412","140365","2525"
"140463","140365","3267"
"147278","146841","13813"
"149705","62923","14690"
"150822","150805","5472"
"150826","150805","8505"
"150838","150805","13937"
"150859","150805","8155"
"150919","150805","18248"
"154019","153953","18308"
"154046","153953","23524"
"154419","153953","9241"
"168915","153953","5109"
"178986","178876","1380"
"179051","178876","1380"
"179278","178876","1380"
"185025","178876","549"
"185549","178876","17131"
"190003","178876","10224"
"191696","191692","77"
"191702","191692","247"
"191719","191692","736"
"192877","20047","19797"
"196195","196177","19762"
"196237","196177",""
"196304","196177","11388"
"199072","199017","2025"
"199115","199017","23102"
"199123","199017","27009"
"199181","199017","15008"
"200800","200786","16076"
"202686","200786","13154"
"203947","200786","11123"
"208420","208387","6604"
"210890","150805","27068"
"217127","217113","739"
"217130","217113","3333"
"217135","217113","18995"
"217179","217113","25920"
"217267","217213","14660"
"217440","217113","7671"
"217453","217113","29480"
"217558","217113","14860"
"217693","217113","2844"
"217701","217113","988"
"217897","217213","18901"
"217927","217213","11621"
"218776","218681","3043"
"219165","218681","26221"
"220351","180239","8143"
"222281","217113","12541"
"223724","217213","10105"
"226654","5509",""
"228488","228476","615"
"228490","228476","30572"
"228491","228476","18590"
"233265","233258","21644"
"233289","233258","18061"
"233292","233258","8954"
"233313","233258","2974"
"233363","233258","13005"
"233367","233258","22564"
"233413","233258","31099"
"233660","233258","29639"
"233701","233258","10755"
"239916","239905","21603"
"239919","239905","22656"
"239920","239905","2443"
"239923","239905","27528"
"239960","239905","14048"
"239992","239905","18255"
"241177","239905","31351"
"242273","124745","27688"
"242641","242629",""
"242666","242629","28419"
"242673","242629","5542"
"243187","20047",""
"244540","244489","12950"
"244981","244489","24179"
"245577","244489","748"
"250458","36877",""
"256843","60518","13724"
"261185","260192","33965"
"262180","260192","18975"
"270082","270011","30945"
"270084","270011","8458"
"270449","269676","33663"
"270492","269676","32632"
"271789","269676","10661"
"271977","271850","14716"
"272370","271850","25732"
"272984","271850","255"
"273225","273209","24279"
"273232","273209","21706"
"273233","273209","9353"
"273234","273209","24126"
"273237","273209","9328"
"273241","273209","34240"
"273243","271850","9842"
"273245","273209","14092"
"273249","273209","1968"
"273253","273209","20003"
"273254","273209","1288"
"273265","273209","241536"
"273267","273209","16219"
"273269","273209","18256"
"273286","273209","20481"
"273287","273209","1674"
"273321","273209","19981"
"273339","273209","30506"
"273565","273209","1065163"
"273585","273209","34707"
"273593","273209","13757"
"273827","273209","13313"
"273830","273209","7734"
"274042","273209","10593"
"274433","273209","35092"
"275042","273209","35616"
"276092","276087","2657951"
"276124","276087","17964"
"276806","273209","31945"
"279188","279173","8446"
"280064","280053","33821"
"281895","273209","30404"
"284366","273209","28641"
"285413","285392","1862"
"285529","285392","10784"
"285599","285392","33977"
"285605","285586","35322"
"285609","285586","14148"
"285610","285586","13430"
"287768","287456","23283"
"287846","287456","4083"
"293611","273209","14850"
"293637","273209",""
"301735","273209","34585"
"304073","302357","36397"
"307516","307478","31038"
"307578","307478","7734"
"308270","307478","15416"
"312072","312069","3415"
"312074","312069","15906"
"312075","312069","40015"
"312076","312069","39992"
"312080","312069","39991"
"312081","312069","33686"
"312083","312069","25222"
"312113","312069","7988"
"312160","312069","10659"
"312164","312069","3827"
"312236","312069","39153"
"318679","20386","38206"
"318744","20386","11898"
"320661","320636","23354"
"321062","321036","16076"
"321328","321036","24995"
"321347","321241",""
"321361","321241","36472"
"321610","321241","1737"
"322886","321036","16076"
"324008","321036","35777"
"329794","329775","21966"
"329799","329775","16391"
"329806","329775","26160"
"329811","329775","9345"
"332838","332833","39975"
"332915","332833","729"
"333555","320636",""
"335669","320636","17174"
"344720","344719","11208"
"344725","344719","26932"
"344727","344719","13913"
"344739","344719","6782"
"344757","344719","31582"
"344790","344719","5551"
"346507","346499","34509"
"346560","346499","3146"
"346598","346499","4279"
"346951","346499","15168"
"352088","352066","6386"
"352094","352066","41661"
"352572","352066","44276"
"354484","354035","41232"
"360428","260192","25891"
"364217","364172","4556"
"364994","364172","714"
"367574","367571","42891"
"367579","367571","17172"
"367587","367571","2188962"
"367628","367571","36472"
"367758","367571","3827"
"367779","367571","19993"
"367945","367571","31615"
"372953","372933","40342"
"372959","372933","13279"
"372962","372933","40650"
"372968","372933","19307"
"372975","372933","13552"
"372978","372933","28835"
"372999","372933","41360"
"376408","376346","4435"
"376434","376346","31615"
"378647","376346","33033"
"391919","391913","26414"
"391921","391913","23354"
"391950","391913","10174"
"394916","394895","17160"
"394958","394836","27009"
"396105","396100","1968"
"396162","396100","49462"
"396173","396100","44605"
"396189","396100","455552"
"396196","396100",""
"398107","321036",""
"400526","280053","39932"
"409467","409449","42559"
"409527","409449","14343"
"409564","409449","3002"
"419443","273209","11077"
"419465","273209","50049"
"420244","217213",""
"420622","420599","39062"
"420653","420599","26334"
"420694","420599","1196"
"421935","421893","20471"
"422070","200786",""
"422147","421893","28006"
"422590","421893","24229"
"422728","420599","41661"
"428519","428478","17516"
"428522","428478","53114"
"429271","429254","2328"
"429312","429254","1702"
"429341","429254","37507"
"430111","429254","53571"
"432511","432491","714"
"433158","432491","6443"
"433705","433700","36384"
"433712","433700","13834"
"433836","433700","49404"
"434352","273209","53974"
"434387","233258","53974"
"442304","423802","6583"
"443025","443009","3333"
"443062","443009","43058"
"443066","443009","54574"
"443269","443237","41612"
"444201","444191","5728"
"444209","444191","40410"
"444233","444191","26160"
"448533","443237","55547"
"454201","376346","56289"
"467861","233258","588"
"468614","466601","7498"
"469148","469098","17034"
"469149","469098","21764"
"469156","469098","23283"
"469633","321036","40214"
"469684","466601","29060"
"470371","469098","29027"
"470870","466601","29060"
"471012","470820","8114"
"471134","466601","35697"
"472437","470820","26056"
"472731","472700","7532"
"472735","472700","3320"
"472742","472700","58275"
"472756","472700","4918"
"472760","472700","44293"
"473770","473760","23354"
"473787","473760","5984"
"473789","473760","31624"
"473792","473760","58142"
"473795","473760","12950"
"473863","473760","27083"
"475603","475539","2750"
"475815","475539","58237"
"476525","475539","7374"
"479943","475539","46297"
"487462","487173","18017"
"487536","487173","17279"
"487908","487889","6521"
"487915","487889","32465"
"487953","487889","46675"
"491568","491527","13018"
"492003","413940","12113"
"492182","491527","46387"
"494340","494327","49485"
"494365","494327","3740"
"494433","494327","6330"
"497628","478242","4468"
"503656","494327","61553"
"503704","494327","39932"
"505483","505465","5070"
"505492","505465","29505"
"505498","505465","36384"
"505537","505465","58668"
"505586","505465","9122"
"505778","505465","5845"
"507327","507249","61560"
"507397","507249","5822"
"508421","508398","49942"
"508447","508398","7583"
"508470","508398","59332"
"508478","508398","38206"
"508519","508398","55774"
"509027","508398","10387"
"509594","507249","14069"
"510958","510955","2971"
"510960","510955","15529"
"510962","510955","342"
"510969","510955","62349"
"510973","510955","31038"
"511000","510955","2990"
"511005","510955","47733"
"511071","510955","17604"
"511084","510955","11698"
"511124","510955","3848"
"511152","510955","27048"
"511325","511289","56658"
"511444","510955",""
"512526","512371","19629"
"513661","512371","37835"
"513691","512371","25714"
"516932","516869","46914"
"518009","517950","54289"
"518014","517950","23524"
"518018","517950","50447"
"518084","517950","1995476"
"518117","516869",""
"520130","520107","23354"
"520174","520107","47351"
"527354","527296","62596"
"528429","528405","17"
"528435","528405","29"
"530040","528127","64329"
"531737","531717","49209"
"531739","531717","38206"
"531742","531717","53771"
"531749","531717","57036"
"531767","531717","47733"
"532414","532346","59024"
"532431","532346","10661"
"532964","532917","2328"
"533001","532917",""
"533312","533021","60308"
"533606","532917","10755"
"533629","533021","44522"
"533911","533021","1293"
"536149","532917","53276"
"536239","533021","17174"
"536287","533021","3241"
"536436","536432","61838"
"537113","537103","47529"
"537121","537103","18393"
"537122","537103","12281"
"537123","537103","10771"
"537124","537103","38595"
"537128","537103","16076"
"537132","537103","13018"
"537137","537103","9424"
"537159","537103","63775"
"537282","537103","5247"
"537325","537103","55164"
"537591","537103","2915"
"541638","541620","47001"
"541641","541620","55774"
"541646","541620","740"
"541653","541620","23354"
"541908","541620","9254"
"554155","554138","6688"
"554158","554138","14356"
"554165","554138","61815"
"554170","554138","44673"
"554174","554138","15409"
"554195","554138","9122"
"554199","554138","48469"
"554254","554138","52210"
"556622","556616","22656"
"556633","556616","64161"
"556948","556616","66887"
"560546","560507","842"
"561935","560507","28768"
"562636","562617","811"
"562654","562617","41877"
"562658","562617","24874"
"562861","321241","2898"
"562871","562843","66344"
"562873","562843","891"
"565436","565425","51275"
"565448","565425","15861"
"565451","565425","5640"
"565452","565425","31505"
"565457","565425","34211"
"565464","565425","18565"
"565473","565425","20310"
"565501","565425","31191"
"580193","580177","23283"
"580200","580177","53850"
"580201","580177","70175"
"580203","580177","23524"
"585176","585149","58961"
"585201","585149",""
"586805","586759","15809"
"586814","586759","61344"
"590398","582663","1529"
"590416","582663","57428"
"593625","273209","20135"
"593658","273209","61352"
"594046","585149",""
"596080","596057","66372"
"596096","596057","33264"
"596099","596057","44853"
"600292","595187","60576"
"600303","595187","69572"
"600767","600757","893"
"600772","600757","24995"
"600777","600757","38791"
