topic,score,count,score/count
T1,8727,1008,8.657738095238095
T10,4663,404,11.542079207920793
T11,7574,1238,6.117932148626817
T12,40237,5558,7.239474631162288
T13,614,92,6.673913043478261
T2,5012,601,8.339434276206322
T3,405,123,3.292682926829268
T4,4910,779,6.302952503209243
T5,2589,316,8.193037974683545
T6,1,11,0.09090909090909091
T7,6628,1041,6.366954851104707
T9,8600,1280,6.71875
