topic,score,count,score/count
T1,4005.176433622837,458.7917565256357,8.729835217514509
T10,2655.811688452959,225.65700447559357,11.769241086155622
T11,4105.263116568327,679.4565576016903,6.041980271790837
T12,20085.662148177624,2804.166173711419,7.162793109936668
T13,245.1147716641426,36.60020478069782,6.697087437975511
T2,2661.035481929779,318.54361183941364,8.353755602141154
T3,140.14157781004906,45.97563309967518,3.048170701776354
T4,2709.2323120236397,400.65882736444473,6.76194339669268
T5,1018.629632756114,125.92259965837002,8.089331347348864
T6,0.5335677862167358,4.310719221830368,0.12377697520048138
T7,2825.66013866663,469.5810350328684,6.017406853896575
T9,4147.403529658914,624.681912869215,6.63922461050545
