id,favorite
"1","23"
"2","4"
"7","4"
"75","5"
"97","4"
"114","33"
"117","11"
"162","10"
"163","4"
"164","36"
"183","54"
"241","13"
"244",""
"245","3"
"249","0"
"259","3"
"264","7"
"276","2"
"277","24"
"290","1"
"312","2"
"369",""
"377","10"
"380","2"
"381","7"
"382","4"
"387","8"
"397","9"
"398","5"
"416","3"
"437","1"
"438","7"
"486","21"
"515","6"
"553","6"
"580",""
"595","1"
"627","3"
"645","2"
"675","1"
"807","2"
"829","11"
"847","2"
"854","5"
"978","3"
"1009","12"
"1044","3"
"1062","3"
"1063",""
"1068","5"
"1069","9"
"1070","4"
"1108","2"
"1166","5"
"1180","2"
"1225","9"
"1238","3"
"1257","11"
"1262","1"
"1322","6"
"1344","1"
"1362","4"
"1368","67"
"1427","1"
"1463","2"
"1577","1"
"1621","7"
"1653","7"
"1680","6"
"1707","2"
"1735","60"
"1766",""
"1906","6"
"1961","1"
"2003","1"
"2010","1"
"2013","72"
"2021","1"
"2022","1"
"2023","1"
"2028","1"
"2078","1"
"2087","7"
"2091","1"
"2092","2"
"2099","10"
"2120","30"
"2178","7"
"2226","14"
"2243","6"
"2257",""
"2330","14"
"2342","8"
"2372","2"
"2403","2"
"2405","1"
"2503","1"
"2517","9"
"2525","1"
"2552","4"
"2581","3"
"2582","3"
"2592","2"
"2631",""
"2703","2"
"2715","8"
"2804",""
"2837","21"
"2963","1"
"2982","8"
"2985","10"
"3001","56"
"3004","4"
"3034","1"
"3056","83"
"3085","7"
"3142","1"
"3165","19"
"3174","1"
"3406",""
"3460",""
"3521",""
"3543",""
"3584","4"
"3600",""
"3601",""
"3606","1"
"3640",""
"3674","12"
"3694","7"
"3707","1"
"3763","3"
"3787","1"
"3844","2"
"3848","21"
"3879","2"
"3889","4"
"3949","4"
"4104","3"
"4193","5"
"4196",""
"4213",""
"4217","2"
"4248","14"
"4253",""
"4254",""
"4309","1"
"4354","2"
"4420","2"
"4436",""
"4471","1"
"4503",""
"4524","3"
"4530","4"
"4536","1"
"4555",""
"4570",""
"4667","15"
"4752",""
"4758","9"
"4796","6"
"4824","3"
"4841","5"
"4859","3"
"4981","1"
"5020",""
"5033",""
"5067",""
"5084","1"
"5091",""
"5107","5"
"5119","7"
"5132",""
"5182","2"
"5212",""
"5227","4"
"5244","8"
"5266","2"
"5310","2"
"5414","2"
"5440","1"
"5441","1"
"5467",""
"5505","2"
"5514","3"
"5637","2"
"5644",""
"5763","7"
"5786",""
"5817","2"
"5835",""
"5847","1"
"5860",""
"5869","5"
"5883",""
"5897","4"
"5932",""
"5949","1"
"6020","1"
"6077",""
"6204","16"
"6236","1"
"6259","2"
"6329",""
"6411",""
"6465","2"
"6478","3"
"6510","1"
"6530","2"
"6535","1"
"6550",""
"6666","3"
"6694","1"
"6753","12"
"6756","2"
"6827","4"
"6842","2"
"6904",""
"6946","2"
"6957","4"
"6998","6"
"7062","3"
"7080","1"
"7084","4"
"7204","10"
"7256","2"
"7277","2"
"7434","1"
"7519","1"
"7553",""
"7641","2"
"7687","2"
"7697",""
"7703","1"
"7705","18"
"7720",""
"7776",""
"7802",""
"7849","12"
"7860","2"
"7870",""
"7911","11"
"7920",""
"7938",""
"7961",""
"8033","1"
"8066","2"
"8074",""
"8099","1"
"8113","25"
"8155",""
"8174","7"
"8181","0"
"8201","1"
"8303","3"
"8310","0"
"8427","1"
"8445","4"
"8446","6"
"8456","4"
"8573",""
"8587","9"
"8602","2"
"8610","1"
"8621","2"
"8663","2"
"8711",""
"8733","1"
"8744","5"
"8749","1"
"8757","1"
"8761","6"
"8785","3"
"8798","6"
"8803","1"
"8857","5"
"8865","1"
"8867","4"
"8873","3"
"8895",""
"8896",""
"8945","1"
"9095","0"
"9096","5"
"9106","2"
"9113","3"
"9133","6"
"9156","1"
"9230","5"
"9237","1"
"9263",""
"9272",""
"9348","7"
"9440","2"
"9453","5"
"9461","1"
"9470","3"
"9561","1"
"9623","3"
"9628","2"
"9668","0"
"9682",""
"9763",""
"9781",""
"9810","1"
"9831",""
"9908","12"
"9916",""
"9935","2"
"9945","12"
"9967",""
"9973",""
"9980",""
"9981","0"
"10000","10"
"10006","6"
"10011","1"
"10029",""
"10032","1"
"10035",""
"10071",""
"10106","1"
"10109","7"
"10156","3"
"10201","0"
"10251",""
"10270",""
"10277","5"
"10292",""
"10378","3"
"10386","1"
"10415","3"
"10446",""
"10485",""
"10535","1"
"10549","2"
"10551",""
"10553","1"
"10554","2"
"10615",""
"10646",""
"10657","1"
"10691","2"
"10694","1"
"10722","3"
"10728","2"
"10729","7"
"10736","1"
"10825","4"
"10838","2"
"10847","2"
"10854","5"
"10857",""
"10866",""
"10898",""
"10929",""
"10974","12"
"11066","1"
"11098","2"
"11103",""
"11140","2"
"11163","1"
"11170","1"
"11234","186"
"11263","4"
"11298",""
"11317","1"
"11355","1"
"11363","6"
"11369","0"
"11376",""
"11384","12"
"11393",""
"11397","1"
"11398","1"
"11427",""
"11444","105"
"11447","3"
"11540",""
"11555",""
"11606","1"
"11621",""
"11623",""
"11632","5"
"11658","4"
"11662","1"
"11737","1"
"11756","11"
"11768","1"
"11788","5"
"11794","1"
"11810","2"
"11840","5"
"11842",""
"11860","5"
"11868","1"
"11893","1"
"11911","1"
"11917",""
"11968",""
"11972",""
"11974","1"
"11985","1"
"11986","1"
"11995","4"
"12041","54"
"12066","16"
"12101","9"
"12131",""
"12133",""
"12153","1"
"12164","2"
"12178","1"
"12194",""
"12313","2"
"12401","7"
"12402",""
"12405",""
"12428","1"
"12434",""
"12482","1"
"12512",""
"12546","18"
"12555","0"
"12568","1"
"12593","2"
"12596","15"
"12624","1"
"12684","2"
"12686","3"
"12699",""
"12729","3"
"12792","1"
"12816","1"
"12836",""
"12846",""
"12857","2"
"12896","11"
"12899",""
"12933","1"
"13039","2"
"13059","2"
"13120","1"
"13192","1"
"13235",""
"13243","2"
"13286","1"
"13372","2"
"13375","2"
"13432","9"
"13446","1"
"13464","4"
"13496",""
"13537",""
"13543",""
"13570","18"
"13618","2"
"13639",""
"13652","3"
"13658","2"
"13698","9"
"13731","1"
"13760","5"
"13798",""
"13821","3"
"13841",""
"13862",""
"13863",""
"13955","2"
"13992","6"
"14025","22"
