id,favorite
"5509",""
"16473","7"
"19773","2"
"20047","58"
"20386","24"
"20510",""
"25730","21"
"33529","12"
"34512","79"
"36877","34"
"40119","86"
"44080",""
"47707","1"
"52566","2"
"60518",""
"62923","1"
"64432",""
"69565",""
"76408","15"
"78900",""
"89112",""
"100832",""
"108057",""
"117461","1"
"122877","2"
"124745","10"
"140365","2"
"146841","1"
"150805","3"
"153953","2"
"178876",""
"180239",""
"191692",""
"196177","1"
"199017","12"
"200786",""
"208387","1"
"217113","31"
"217213",""
"218681","1"
"228476","2"
"233258","7"
"239905","5"
"242629","5"
"244489","1"
"260192",""
"269676","3"
"270011",""
"271850","2"
"273209","76"
"276087","3"
"279173",""
"280053",""
"285392","1"
"285586","1"
"287456",""
"302357","0"
"307478","8"
"312069","20"
"320636","18"
"321036","1"
"321241","12"
"329775","1"
"332833","1"
"344719","1"
"346499",""
"352066","0"
"354035","7"
"364172","1"
"367571","6"
"372933",""
"376346",""
"391913","32"
"394836","1"
"394895","1"
"396100","2"
"409449","1"
"413940",""
"420599","3"
"421893","1"
"423802",""
"428478",""
"429254","21"
"432491",""
"433700","1"
"443009",""
"443237",""
"444191","2"
"466601","2"
"469098","1"
"470820","1"
"472700","1"
"473760","8"
"475539","2"
"478242","7"
"487173","3"
"487889","3"
"491527","1"
"493909",""
"494327","20"
"505465","11"
"507249",""
"508398","16"
"510955",""
"511289",""
"512371","0"
"516869",""
"517950","1"
"520107",""
"527296","1"
"528127",""
"528405","10"
"531717","1"
"532346","3"
"532917",""
"533021",""
"536432","0"
"537103","0"
"541620",""
"554138","4"
"556616",""
"560507","1"
"562617",""
"562843",""
"565425","2"
"580177",""
"582663",""
"585149",""
"586759",""
"595187","5"
"596057",""
"600757","7"
"611520","1"
"612964",""
"620733","36"
"626290",""
"639034",""
"641666","1"
"643122","4"
"651481",""
"653012",""
"656274",""
"656583","2"
"661908","12"
"664718",""
"665094","5"
"666573","1"
"667177","6"
"670791","6"
"674724","0"
"679270",""
"685904","1"
"686397","3"
"687059",""
"693270","2"
"697336","18"
"701580","6"
"703856","1"
"706367",""
"709145",""
"712975","2"
"714125","2"
"720508","5"
"728063",""
"728088","8"
"730913",""
"735894","7"
"738846","1"
"739850","5"
"742730",""
"749911",""
"751957",""
"756908",""
"758743",""
"761077","7"
"765285",""
"767392","2"
"770555","4"
"789826","2"
"795237","2"
"797883","1"
"798933",""
"801589","2"
"801737",""
"803150","2"
"803566","1"
"812980","1"
"829105","4"
"838540","11"
"838824","1"
"841984",""
"846460",""
"849549","46"
"856358",""
"863948","2"
"867660","5"
"867928",""
"871610","1"
"879758",""
"882884","2"
"884781","2"
"891913","1"
"895600",""
"897020","5"
"898273",""
"901369","2"
"902687",""
"904775",""
"905118",""
"914199",""
"918180",""
"919334","1"
"920114",""
"935463",""
"935922","0"
"937178","2"
"939831","39"
"942421","2"
"943312","0"
"943841","2"
"945584",""
"959501","3"
"960081","1"
"960122","0"
"969223",""
"974136",""
"985535",""
"990015","1"
