id,score
"926956","2"
"928830","8"
"930742","2"
"932640","0"
"933756","1"
"938978","1"
"939159","14"
"939747","5"
"940287","5"
"941279","1"
"941594","987"
"942400","2"
"944033","8"
"949569","6"
"951334","17"
"951386","27"
"954556","10"
"954628","1"
"955130","5"
"956993","0"
"957577","39"
"961830","1"
"962354","3"
"965186","1"
"970600","1"
"975448","3"
"978225","8"
"979360","1"
"984106","0"
"988046","0"
"992296","1"
"993671","56"
"994493","3"
"999699","2"
"1000002","88"
"1002628","1"
"1003847","1"
"1005381","0"
"1007066","2"
"1007191","6"
"1009474","4"
"1013032","37"
"1014593","11"
"1024073","1"
"1024730","1"
"1027857","0"
"1029118","5"
"1029380","19"
"1033766","1"
"1038274","0"
"1038986","3"
"1042635","2"
"1044121","0"
"1048726","2"
"1048777","2"
"1050524","0"
"1053919","1"
"1055460","47"
"1061634","13"
"1062254","2"
"1065000","3"
"1067323","1"
"1068190","5"
"1070153","9"
"1070486","4"
"1072224","4"
"1072497","1"
"1072541","20"
"1077840","8"
"1078397","4"
"1081025","1"
"1081449","1"
"1083898","3"
"1085341","1"
"1086918","16"
"1088144","6"
"1091665","2"
"1095045","2"
"1096151","0"
"1096595","1"
"1098452","10"
"1099391","9"
"1102429","3"
"1109794","6"
"1112841","2"
"1113422","51"
"1116128","1"
"1119656","0"
"1120381","1"
"1120575","65"
"1122337","0"
"1122902","3"
"1129639","2"
"1130966","0"
"1134202","2"
"1136468","3"
"1139360","1"
"1140828","0"
"1141277","0"
"1142933","7"
"1144026","2"
"1146396","0"
"1148820","28"
"1149118","17"
"1154376","4"
"1154628","1"
"1157775","4"
"1159729","36"
"1161851","0"
"1162491","89"
"1163319","6"
"1165040","34"
"1165192","1"
"1168731","7"
"1172014","0"
"1172891","9"
"1175714","3"
"1175828","2"
"1188714","0"
"1191112","38"
"1198076","14"
"1198900","7"
"1200655","1"
"1201247","1"
"1205889","55"
"1207071","0"
"1210042","11"
"1213246","4"
"1215930","-2"
"1217065","3"
"1218188","6"
"1219663","2"
"1220182","38"
"1224021","41"
"1224049","5"
"1226406","11"
"1229828","3"
"1230098","1"
"1232665","1"
"1235883","4"
"1237563","1"
"1237768","4"
"1238082","1"
"1239177","0"
"1242529","1"
"1242925","1"
"1245387","0"
"1245396","1"
"1247373","9"
"1247821","3"
"1249902","0"
"1255286","8"
"1258117","1"
"1265282","263"
"1266605","7"
"1266650","11"
"1267998","14"
"1269290","2"
"1271787","1"
"1276078","1"
"1278066","0"
"1282243","1"
"1282949","1"
"1283352","9"
"1283476","6"
"1285832","1"
"1287965","4"
"1288599","2"
"1291584","4"
"1294360","4"
"1295319","0"
"1295827","1"
"1297501","1"
"1299857","3"
"1300944","3"
"1301863","9"
"1301991","8"
"1303305","3"
"1304907","2"
"1305326","2"
"1306823","6"
"1312292","1"
"1314518","32"
"1314521","42"
"1315835","6"
"1319956","2"
"1320496","1"
"1321508","18"
"1324294","0"
"1324512","1"
"1325656","8"
"1326001","19"
"1327742","8"
"1329354","2"
"1332670","5"
"1333577","5"
"1335522","2"
"1336555","1"
"1336776","42"
"1337865","4"
"1345663","9"
"1347728","18"
"1349314","2"
"1349474","1"
"1350331","4"
"1353375","1"
"1356861","0"
"1358810","395"
"1359939","0"
"1359973","1"
"1360805","4"
"1363381","1"
"1363690","0"
"1364130","5"
"1364922","3"
"1366182","3"
"1372211","3"
"1372643","1"
"1373574","4"
"1374288","3"
"1377849","1"
"1378194","2"
"1381362","0"
"1381937","8"
"1382608","1"
"1383971","5"
"1384807","7"
"1386253","11"
"1386367","1"
"1387450","3"
"1388718","3"
"1391280","1"
"1393514","2"
"1393720","1"
"1394467","8"
"1396300","0"
"1396443","24"
"1397112","2"
"1397487","0"
"1399511","2"
"1401159","97"
"1401278","3"
"1402770","16"
"1406060","2"
"1406063","3"
"1409601","2"
"1412239","6"
"1412417","6"
"1412553","0"
"1413122","4"
"1413277","1"
"1413930","44"
"1416060","22"
"1418462","1"
"1419800","14"
"1420477","0"
"1422891","1"
"1422977","15"
"1423003","-1"
"1424936","0"
"1426025","3"
"1427649","5"
"1428590","3"
"1429866","4"
"1430201","0"
"1431261","4"
"1431566","2"
"1439403","17"
"1442538","3"
"1443411","0"
"1445815","3"
"1447018","4"
"1448302","7"
"1450997","12"
"1452527","4"
"1453649","3"
"1455144","-1"
"1457733","1"
"1459793","0"
"1460060","2"
"1460915","0"
"1461240","1"
"1463711","13"
"1466609","2"
"1466905","10"
"1467425","3"
"1468407","10"
"1471124","0"
"1471130","1"
"1471142","2"
"1471408","1"
"1472892","0"
"1473052","0"
"1473609","7"
"1475438","3"
"1475970","7"
"1475991","0"
"1479234","3"
"1481940","4"
"1482575","2"
"1485281","15"
"1485419","7"
"1486841","0"
"1488869","3"
"1489663","3"
"1494648","5"
"1495371","2"
"1495683","6"
"1501550","6"
"1503122","4"
"1503947","1"
"1506997","0"
"1508236","0"
"1508314","6"
"1508431","5"
"1512999","3"
"1513096","0"
"1514527","2"
"1515508","10"
"1520669","2"
"1520973","1"
"1521203","0"
"1523093","0"
"1524101","8"
"1524365","-2"
"1526635","2"
"1528555","0"
"1528872","2"
"1530417","3"
"1534012","4"
"1534301","0"
"1539762","1"
"1541329","0"
"1542406","0"
"1545099","10"
"1545533","0"
"1548395","8"
"1550876","2"
"1554221","1"
"1554766","0"
"1558111","2"
"1562145","2"
"1564444","0"
"1565052","1"
"1567103","1"
"1567866","8"
