id,activity_time
"11840","2635009"
"11842","1187707"
"11860","292951"
"11868","3868761"
"11893","164"
"11911","165165"
"11917","53"
"11968","128580"
"11972","601"
"11974","1413432"
"11985","2836169"
"11986","102"
"11995","2506"
"12041","1647145"
"12066","2593613"
"12101","2854538"
"12131","2831891"
"12133","57881"
"12153","2160272"
"12164","4605"
"12178","144"
"12194","807"
"12313","3252976"
"12401","1434520"
"12402","216"
"12405","5320"
"12428","1538279"
"12434","50959"
"12482","464"
"12512","11165"
"12546","2004426"
"12555","4367751"
"12568","2141808"
"12593","91280"
"12596","2221752"
"12624","557083"
"12684","1612"
"12686","76435"
"12699","3756076"
"12729","407"
"12792","898134"
"12816","445"
"12836","832"
"12846","460"
"12857","5413"
"12896","2461329"
"12899","1513"
"12933","1016"
"13039","1617"
"13059","230"
"13120","1635526"
"13192","2342"
"13235","5099"
"13243","3141802"
"13286","2210748"
"13372","882626"
"13375","3431312"
"13432","896121"
"13446","260"
"13464","149774"
"13496","744842"
"13537","9425"
"13543","625"
"13570","4216760"
"13618","89630"
"13639","1271"
"13652","3271228"
"13658","2559879"
"13698","4059459"
"13731","1702128"
"13760","2728472"
"13798","87738"
"13821","1276035"
"13841","40372"
"13862","2286808"
"13863","150"
"13955","3088847"
"13992","3789836"
"14025","134623"
"14029","34"
"14038","3275035"
"14046","2925411"
"14102","105"
"14112","960382"
"14134","127179"
"14142","885995"
"14152","198752"
"14215","2695"
"14216","1018"
"14222","865783"
"14249","1050597"
"14255","662"
"14256","490"
"14305","604"
"14465","31"
"14516","3234628"
"14534","54323"
"14569","12045"
"14635","309"
"14709","2164"
"14713","106175"
"14714","386"
"14717","52061"
"14727","1747305"
"14738","2525318"
"14739","51625"
"14757","3139157"
"14763","1857415"
"14820","348120"
"14843","3310225"
"14864","35279"
"14881","2160943"
"14890","33686"
"14894","1105"
"14898","73"
"14906","2233"
"14940","1362"
"14982","227"
"15014","280"
"15059","2175164"
"15066","1808"
"15075","1358264"
"15102","4312335"
"15108","931"
"15116","202"
"15202","709186"
"15207","15349"
"15214","3188104"
"15235","1675416"
"15260","338"
"15262","188643"
"15272","538370"
"15315","409667"
"15335","165"
"15349","25729"
"15368","196169"
"15394","578842"
"15436","378"
"15446","906295"
"15471","179097"
"15475","5502"
"15484","1571328"
"15491","17137"
"15502","75"
"15595","1931"
"15599","2642316"
"15617","6720"
"15621","1345031"
"15641","983949"
"15694","2296141"
"15722","2987"
"15726","557181"
"15741","2192"
"15743","102500"
"15744","240"
"15765","1540"
"15813","1049"
"15830","1740"
"15881","6395"
"15903","197"
"15934","2497780"
"15939","397982"
"15943","48"
"15958","1488758"
"15961","1027"
"15968","9813"
"16133","516"
"16158","61"
"16164","2619"
"16165","2925451"
"16169","216402"
"16183","2528"
"16187","4390"
"16204","1234077"
"16227","0"
"16236","66"
"16247","3256023"
"16258","84"
"16287","3160"
"16291","62676"
"16353","7994"
"16361","1842566"
"16380","630"
"16411","3360"
"16422","1588281"
"16426","4197"
"16486","3083463"
"16496","3744793"
"16500","706"
"16535","1006"
"16546","12616"
"16560","991"
"16564","1991934"
"16588","239"
"16607","505"
"16624","11"
"16651","148"
"16676","136"
"16685","1357"
"16692","353"
"16731","1971229"
"16733","999"
"16747","1842"
"16796","2256825"
