id,owner_user_id
"128530","115876"
"128591","115948"
"146304","115966"
"147250","115966"
"129091","116023"
"154041","116025"
"135442","116082"
"129242","116113"
"137334","116121"
"128687","116125"
"141871","116126"
"128736","116182"
"160672","116190"
"160942","116190"
"128801","116229"
"128870","116305"
"128928","116351"
"133440","116391"
"128971","116397"
"128972","116399"
"129027","116475"
"154862","116513"
"131575","116541"
"129104","116567"
"129190","116584"
"135540","116589"
"129134","116610"
"129161","116635"
"143684","116721"
"144278","116721"
"144722","116721"
"165869","116721"
"129749","116759"
"140291","116759"
"129413","116837"
"129428","116864"
"129448","116875"
"135919","116882"
"130955","116916"
"145967","116974"
"129604","117042"
"129639","117086"
"139573","117093"
"129679","117134"
"142127","117212"
"129948","117279"
"129861","117313"
"129867","117319"
"129891","117351"
"129923","117373"
"129946","117406"
"129971","117436"
"129970","117437"
"130038","117489"
"130206","117660"
"130292","117730"
"159626","117755"
"133320","117758"
"133387","117792"
"134158","117792"
"134666","117792"
"137046","117792"
"140466","117792"
"131103","117827"
"131113","117827"
"133587","117827"
"168913","117888"
"130604","117976"
"135829","118003"
"138319","118043"
"130541","118058"
"148360","118064"
"130556","118072"
"130561","118073"
"130724","118198"
"133515","118278"
"134078","118278"
"146987","118278"
"142877","118310"
"144466","118310"
"162492","118310"
"130822","118318"
"131544","118405"
"130985","118479"
"155875","118511"
"131063","118582"
"131193","118726"
"131318","118857"
"131358","118909"
"135830","118923"
"159970","118972"
"146442","119003"
"146181","119115"
"141129","119175"
"141495","119175"
"134490","119198"
"131650","119221"
"150591","119271"
"157528","119271"
"131708","119285"
"157756","119303"
"145633","119322"
"155444","119379"
"160297","119399"
"146507","119417"
"158266","119417"
"134394","120518"
"132960","120520"
"133078","120650"
"165296","120705"
"157478","120725"
"133341","120825"
"141686","120836"
"134690","120846"
"154652","120894"
"162316","120894"
"133433","121038"
"133456","121058"
"133470","121070"
"166676","121082"
"133626","121110"
"135468","121125"
"135562","121125"
"167729","121136"
"133548","121138"
"133781","121140"
"139313","121141"
"158770","121141"
"133582","121162"
"142506","121169"
"96933","121180"
"133652","121212"
"133793","121339"
"133880","121444"
"135817","121501"
"142601","121514"
"134114","121650"
"134133","121680"
"137714","121724"
"134207","121754"
"134220","121764"
"135137","121774"
"134224","121776"
"134240","121795"
"134297","121859"
"134760","121859"
"134315","121874"
"134337","121896"
"134349","121906"
"152871","122008"
"134469","122022"
"141045","122049"
"147215","122049"
"134520","122076"
"134767","122088"
"134562","122114"
"134694","122221"
"134676","122222"
"134720","122251"
"134764","122295"
"164758","122361"
"134878","122386"
"134913","122434"
"140457","122449"
"166304","122449"
"152034","122457"
"134967","122516"
"137071","122556"
"135025","122584"
"135042","122594"
"135052","122611"
"167276","122717"
"146034","122718"
"135218","122764"
"154420","122806"
"135302","122841"
"135545","123076"
"135581","123103"
"136250","123105"
"153134","123252"
"135787","123289"
"135799","123302"
"146069","123328"
"146253","123328"
"149145","123328"
"150419","123328"
"151799","123328"
"157459","123328"
"160651","123328"
"163076","123328"
"167173","123328"
"135858","123378"
"147205","123386"
"135936","123434"
"136331","123434"
"157133","123434"
"162475","123462"
"135979","123493"
"154068","123575"
"136116","123651"
"136237","123651"
"157198","123782"
"151011","123784"
"136268","123806"
"136306","123833"
"139864","123833"
"130786","123874"
"140447","123906"
"141427","123906"
"141505","123906"
"159551","123928"
"137342","123940"
"149007","123940"
"136464","123951"
"138363","123975"
"136454","124001"
"146595","124007"
"136647","124200"
"159061","124200"
"137551","124286"
"136773","124316"
"159956","124333"
"140424","124335"
"148903","124335"
"136819","124379"
"136837","124404"
"137833","124415"
"136863","124447"
"136864","124450"
"137253","124517"
"137284","124517"
"153265","124572"
"137441","124637"
"145753","124661"
"137140","124705"
"137104","124742"
"137541","124753"
"137255","124888"
"137309","124958"
"143968","125022"
"157322","125109"
"137507","125129"
"137514","125140"
"139565","125149"
"160231","125213"
"137592","125218"
"137636","125269"
"149481","125353"
"137730","125383"
"137755","125421"
"165065","125765"
"139059","125780"
"138088","125802"
"138229","125950"
"138385","126087"
"157026","126114"
"160863","126143"
"138477","126164"
"146814","126164"
"150880","126164"
"152180","126164"
"138987","126219"
"151306","126219"
"139833","126243"
"145040","126277"
"138715","126398"
"138749","126423"
"138844","126441"
"144590","126446"
"145503","126446"
"138819","126502"
"140433","126565"
"138945","126634"
"139018","126695"
"139934","126695"
"139220","126863"
"139245","126863"
"139243","126866"
"140605","126881"
"143542","126881"
"139620","126886"
"139190","126889"
"139408","126979"
"139294","126993"
"139715","127069"
"139406","127091"
"139604","127280"
"139586","127303"
"139654","127382"
"139704","127442"
"147269","127446"
"139712","127449"
"143849","127498"
"139841","127608"
"167064","127613"
"139847","127624"
"139879","127663"
"139895","127676"
"143485","127732"
"153785","127732"
"154592","127732"
"168323","127732"
"140088","127770"
"140013","127803"
"154130","127868"
"140090","127870"
"140791","127878"
"141273","127878"
"147900","127944"
"154038","127944"
"140185","127955"
"140374","128133"
"140430","128198"
"140446","128203"
"140518","128203"
"140535","128203"
"141021","128203"
"140490","128249"
"163432","128304"
"163524","128304"
"164835","128304"
"167550","128304"
"142405","128384"
"153341","128390"
"145167","128429"
"141509","128575"
"141153","128604"
"140843","128623"
"140886","128663"
"141101","128675"
"148647","128795"
"141018","128803"
"141113","128846"
"152547","128856"
"158247","128865"
"141133","128907"
"140805","128952"
"141185","128963"
"141196","128975"
"141228","129014"
"141338","129138"
"141522","129150"
"141350","129157"
"141369","129184"
"141588","129184"
"141365","129187"
"141438","129256"
"163684","129390"
"141666","129502"
"141733","129560"
"141773","129615"
"141792","129637"
"141805","129646"
"141820","129655"
"141851","129675"
"141896","129732"
"142167","129805"
"142457","129898"
"142067","129913"
"142178","130007"
"142593","130011"
"142218","130051"
"142228","130058"
"142403","130247"
"142410","130253"
"142453","130306"
"141978","130314"
"142479","130314"
"142465","130322"
"142482","130330"
"142484","130341"
"142517","130388"
"142561","130396"
"142585","130464"
"142650","130530"
"143244","130550"
"142682","130561"
"142703","130580"
"155792","130611"
"142760","130632"
"142819","130698"
"142875","130757"
"142925","130809"
"143663","131079"
"143174","131114"
"143194","131139"
"143212","131139"
