Id,ParentId,OwnerUserId
"128564","100129","115913"
"128603","66592","115969"
"130684","130604","115985"
"129199","129190","116113"
"130533","130525","116113"
"129181","129161","116121"
"163070","163066","116121"
"129133","129010","116159"
"137312","137309","116230"
"138612","138611","116230"
"138845","138844","116230"
"138952","138945","116230"
"142150","142127","116230"
"142168","142167","116230"
"142230","142228","116230"
"143821","143820","116230"
"147494","147491","116230"
"148648","148647","116230"
"149876","149874","116230"
"155332","155328","116272"
"128872","128870","116300"
"135000","134967","116310"
"129452","129445","116320"
"147311","144697","116470"
"157140","157133","116470"
"130544","130541","116507"
"160190","144811","116525"
"8736","8733","116562"
"129116","129014","116586"
"135558","135540","116589"
"129128","26469","116604"
"129164","129161","116639"
"134970","134967","116645"
"144126","144102","116645"
"150163","150153","116645"
"155607","155594","116645"
"129195","39077","116670"
"129260","109057","116716"
"143906","143904","116721"
"144062","144058","116721"
"144417","144413","116721"
"144761","144754","116721"
"144765","144102","116721"
"129868","129855","116816"
"135564","135561","116816"
"143285","143276","116816"
"129487","129448","116875"
"129485","129423","116919"
"130421","130409","116958"
"130599","130561","116958"
"130671","130561","116958"
"130925","102816","116958"
"153863","153860","116996"
"154213","154211","116996"
"154218","154217","116996"
"154316","154314","116996"
"167732","167729","116996"
"129886","129762","117025"
"129890","129880","117025"
"133066","131821","117025"
"129665","128683","117100"
"129769","129762","117212"
"129887","129880","117212"
"133791","133784","117212"
"133829","133793","117212"
"136899","136863","117212"
"142106","142067","117212"
"143278","143276","117212"
"144666","144659","117250"
"130035","80803","117485"
"130050","130038","117500"
"130097","130015","117547"
"130163","129946","117616"
"163561","163531","117662"
"144549","144541","117761"
"130298","129970","117771"
"131714","131708","117792"
"131870","131849","117792"
"132945","132941","117792"
"132969","132960","117792"
"132975","131309","117792"
"133048","133041","117792"
"133051","133034","117792"
"133401","133387","117792"
"134134","134133","117792"
"134727","134720","117792"
"130337","98088","117812"
"130423","62769","117827"
"131502","131482","117827"
"131846","131844","117827"
"133098","126255","117827"
"133312","133243","117827"
"224774","150539","117827"
"130387","122572","117878"
"131081","130274","117878"
"130633","129861","117888"
"130731","130724","117888"
"133929","64080","117888"
"134344","134315","117888"
"160676","160672","117888"
"160684","160678","117888"
"161279","161272","117888"
"161818","161811","117888"
"161965","161951","117888"
"165970","165951","117888"
"166993","166950","117888"
"179312","146117","117962"
"130550","130525","118069"
"130595","130274","118098"
"135315","135155","118139"
"135316","135042","118139"
"130640","122573","118144"
"130762","127806","118265"
"134710","134679","118265"
"130816","80791","118300"
"130849","15694","118342"
"180997","161173","118392"
"131249","131243","118457"
"131286","131193","118726"
