topic_q,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13
T1,0.8716956432449697,0.32969563723881046,0.3306391291993157,0.18858790963629896,0.2087293603352568,0.03700121285198519,0.15415492157443672,0.1569797638430095,0.12763807037605263,0.29278803989591784,0.35655063177895,1.0000000000000002,0.0
T2,0.0,0.9999999999999998,0.029997044118026072,0.07166962099424004,0.009702813316685831,0.03063400029932468,0.031150316543531186,0.05437185057923721,0.0021592173786967386,0.12704509665856786,0.1715318480155078,0.30688100886779796,0.0029149095305911407
T3,0.07018873135508091,0.30146030676792845,1.0,0.2391287388684998,0.10386754581157379,0.10384034312781573,0.04006231570028254,0.6787508392823535,0.011419155475228066,0.6865629478526059,0.2884298859612261,0.822123744786594,0.0
T4,0.0,0.1983551808909538,0.07409452804160349,1.0000000000000002,0.018967965101258262,0.011008094569016642,0.10310749117966428,0.07090481233053594,0.024704665329676363,0.07519552405834637,0.2682244898492387,0.39072310424024786,0.0012903944086929513
T5,0.05999342969104861,0.36019089585770797,0.26651037304923947,0.13191821150677396,0.5492910527781106,0.0734659219769264,0.03544129570470407,0.22245483868846844,0.004950335407693532,1.0,0.24051888143015537,0.7559260020782811,0.0
T6,0.0,0.3355038824369511,0.10387101907495574,0.061389538878418956,0.024700066496504802,0.9999999999999998,0.031038727629421975,0.29502964637974366,0.014124146159008782,0.5265566288822146,0.0356347072764687,0.4963280043508323,0.01440396270164377
T7,0.0,0.29928904860680405,0.0510645483530055,0.4090959970439362,0.09529911034386243,0.018393553335332297,0.8600653758869136,0.06096720718089138,0.0809152014153374,0.12457308459533417,0.24741565919798528,0.9999999999999999,0.050074261696579206
T8,0.006959494100061619,0.13482892871919838,0.20328295292130594,0.04740163875638331,0.02589823316222135,0.10719364620667404,0.017007764887849736,1.0000000000000002,0.0,0.6287489070617625,0.07185150846190724,0.39163919912263645,0.02479151747730633
T9,0.017041547994954165,0.18957827684944933,0.13377832192398315,0.2583497194333941,0.034270747520805625,0.0,0.1956228171429239,0.07454917187163428,0.9799925882100898,0.16240940367298085,0.13216779172533205,1.0,0.008854990956264241
T10,0.0029699012578835397,0.10322571123845868,0.053821557384967106,0.011773942007008887,0.03321006597434208,0.05716032341239739,0.004551238596390795,0.16604596069106012,0.0,0.9999999999999999,0.03354363558907932,0.21328067283976268,0.02215957948053461
T11,0.03025076133007539,0.43097176742365806,0.08322841059564715,0.28426583400851146,0.03485560256927971,0.0072789123277323155,0.09152856256586353,0.08060900053282893,0.017218972723568662,0.10422353032826082,1.0,0.5369355118354261,0.0
T12,0.0021553788197631665,0.40653992297513036,0.1085798309873699,0.20511711532840404,0.03075225332987048,0.06878172170611371,0.10446607032090224,0.19777612245197274,0.0291097804773851,0.43285893890658955,0.2516440676730684,1.0,0.0
T13,0.0,0.4607985726669478,0.14204026833186195,0.12819538438239347,0.029522701009748728,0.10582629948155914,0.22174142098795577,0.369523517975359,0.04049924560329106,0.9581152747483921,0.16929656089571857,1.0,0.6549010073900072
