topic,num_posts,a_reputation,a_reputation/num_posts
T1,320,10399090,32497.15625
T2,4240,432438641,101990.24551886793
T3,737,24231055,32877.957937584804
T4,3279,176173001,53727.661177188165
T5,404,26070780,64531.63366336634
T6,1488,146417304,98398.7258064516
T7,552,39099678,70832.75
T8,3999,276334920,69101.00525131283
T9,321,12153117,37860.17757009346
T10,8755,691952859,79035.1637921188
T11,2714,258161649,95122.19933677229
T12,2295,176626580,76961.47276688453
T13,129,13865249,107482.5503875969
