topic,num_posts,a_reputation,a_reputation/num_posts
T1,420,11314139,26938.42619047619
T2,288,5426520,18842.083333333332
T3,36,537936,14942.666666666666
T4,379,10750715,28366.002638522426
T5,144,3607787,25054.07638888889
T6,3,53320,17773.333333333332
T7,544,37094910,68189.17279411765
T9,575,18636190,32410.765217391305
T10,161,6410439,39816.391304347824
T11,605,18810006,31090.919008264464
T12,2749,100382012,36515.82830120044
T13,48,4245419,88446.22916666667
