id,community_owned_date
"104",""
"1284",""
"8318",""
"8451",""
"14061",""
"16861",""
"20168",""
"23102",""
"24723",""
"28965",""
"32412",""
"33086",""
"33969",""
"34510",""
"34896",""
"35798",""
"42357",""
"45093",""
"45627","2008-10-12 11:37:29"
"47323",""
"52830",""
"53426","2009-07-07 00:38:05"
"53728",""
"55296",""
"56949",""
"59483",""
"60174","2012-11-05 16:18:49"
"65734",""
"67174",""
"71328",""
"71756",""
"72166",""
"76359",""
"81202",""
"87431",""
"89663",""
"97983",""
"107823","2008-09-20 10:19:21"
"108088",""
"109293",""
"110123",""
"110458",""
"110575",""
"111707",""
"116415",""
"117129",""
"120131",""
"120189",""
"124885",""
"129677",""
"131681",""
"132134",""
"134086",""
"134099",""
"138311",""
"138432",""
"139199",""
"143791",""
"144696",""
"145728",""
"146839",""
"147572","2008-09-29 04:58:34"
"149848",""
"155220",""
"155751",""
"156445",""
"157924",""
"159114",""
"161315",""
"166565",""
"167165",""
"167199",""
"169058",""
"170028",""
"170415",""
"172125","2008-10-05 15:15:40"
"176195",""
"178320",""
"182542",""
"185210",""
"186106",""
"187761",""
"188870",""
"195648",""
"196845",""
"198462","2008-10-14 19:13:34"
"198520",""
"198650",""
"200545",""
"200822",""
"203758",""
"205923",""
"210820",""
"211941",""
"214802",""
"214850",""
"216324",""
"219944",""
"223395",""
"224049",""
"226316",""
"226637",""
"227909",""
"228138",""
"229596",""
"229889",""
"231204",""
"239194",""
"240362",""
"241040","2009-10-09 00:18:58"
"243152",""
"244882","2008-10-28 21:09:15"
"249318",""
"251937",""
"253327",""
"253545",""
"253673",""
"255723",""
"258625",""
"262145",""
"264570","2008-11-05 07:47:38"
"267487",""
"268182",""
"269487",""
"274274",""
"274659",""
"275207",""
"280101",""
"283726",""
"284163",""
"286462",""
"295156",""
"295385",""
"295566",""
"296134",""
"299659",""
"301750",""
"305044",""
"306668",""
"309497",""
"313998",""
"315672",""
"316367",""
"316894",""
"323264",""
"323938","2011-04-03 21:48:23"
"324905",""
"325086",""
"327499",""
"332365",""
"339312",""
"339531",""
"339603",""
"339931",""
"341422",""
"341872",""
"341966",""
"344314",""
"344437",""
"348985",""
"350177",""
"350202",""
"350697",""
"352172",""
"354161",""
"354676",""
"357499",""
"357567",""
"361701",""
"363190",""
"365309",""
"368146",""
"368313",""
"369981",""
"371928",""
"381042",""
"381171",""
"381747",""
"387936",""
"388699",""
"388985",""
"390359",""
"395592",""
"396324",""
"398179",""
"400407",""
"400655",""
"400819",""
"402705",""
"402936",""
"403489",""
"407771",""
"409807","2009-01-03 20:48:15"
"412939",""
"413477",""
"416046",""
"422738",""
"423918",""
"424210",""
"436004",""
"436715",""
"437146",""
"438486",""
"438704",""
"443224",""
"443883",""
"444181",""
"444698",""
"445177",""
"445911",""
"445993",""
"446501",""
"446551",""
"447067",""
"449650",""
"451623",""
"452664",""
"457014",""
"460519",""
"461137",""
"466737",""
"469949",""
"471800",""
"472552",""
"473173",""
"475833",""
"477053",""
"477649",""
"479059",""
"479701",""
"485023",""
"487566",""
"488797",""
"490851",""
"493531",""
"496873",""
"497156",""
"498234",""
"504323","2009-02-06 14:55:39"
"506939",""
"511907",""
"512174",""
"518313",""
"526576",""
"526655",""
"527973",""
"528303",""
"540738",""
"540915",""
"544239",""
"545573",""
"546242",""
"546701",""
"546998",""
"551480",""
"553708",""
"554156",""
"554650",""
"559483",""
"565871",""
"567155",""
"568995",""
"570160",""
"571866",""
"574159",""
"579130",""
"579322",""
"585358",""
"585891",""
"587301",""
"593238",""
"594443",""
"595516",""
"597277",""
"597353",""
"599048",""
"600329",""
"601300",""
"602625",""
"604924",""
"606099",""
"606158",""
"613680",""
"613962",""
"616545",""
"616980",""
"617714",""
