topic,score,count,score/count
T1,13,850,0.015294117647058824
T10,12450,16364,0.7608164263016377
T11,7985,5529,1.444203291734491
T12,3150,4097,0.7688552599463022
T13,14,256,0.0546875
T2,19558,7482,2.6140069500133656
T3,53,2149,0.024662633783154957
T4,9656,7265,1.329112181693049
T5,604,1075,0.5618604651162791
T6,2368,2928,0.8087431693989071
T7,91,1056,0.08617424242424243
T8,2958,8966,0.32991300468436313
T9,16,855,0.01871345029239766
