topic,score,count,score/count
T1,5.526459097862244,362.3834150135517,0.015250309117086873
T10,7539.145738899708,10461.634977951646,0.7206469882373824
T11,4376.265269219875,3102.575319558382,1.410526681377324
T12,1272.220019429922,1695.4156212359667,0.7503882844387544
T13,5.5780662298202515,93.81956732273102,0.05945525426089631
T2,13727.637864366174,4781.780640333891,2.8708213314042013
T3,26.145743936300278,869.6671455204487,0.03006408149482693
T4,5813.571517944336,4549.664406105876,1.27780227265603
T5,282.6711245626211,422.25806599855423,0.6694274125804123
T6,1283.7562219202518,1524.4832194298506,0.8420927207059521
T7,40.06225761771202,447.8476938456297,0.08945509414975626
T8,1507.887675434351,4395.441082969308,0.34305719197940165
T9,6.905201435089111,386.7652758657932,0.01785372644850672
