,userid_so,accountid,userid_sse,topic,score,postid,user_id_type,source
96,247.0,0.0,183785.0,T11,1,191692,answer_owner_id,so
97,247.0,0.0,152990.0,T11,1,191692,answer_owner_id,so
98,247.0,0.0,199845.0,T11,1,191692,answer_owner_id,so
99,247.0,0.0,10533.0,T11,1,191692,answer_owner_id,so
100,247.0,0.0,228829.0,T11,1,191692,answer_owner_id,so
101,247.0,0.0,146877.0,T11,1,191692,answer_owner_id,so
102,247.0,0.0,148607.0,T11,1,191692,answer_owner_id,so
103,247.0,0.0,148490.0,T11,1,191692,answer_owner_id,so
104,247.0,0.0,206730.0,T11,1,191692,answer_owner_id,so
105,247.0,0.0,136354.0,T11,1,191692,answer_owner_id,so
106,247.0,0.0,131058.0,T11,1,191692,answer_owner_id,so
107,247.0,0.0,160555.0,T11,1,191692,answer_owner_id,so
108,247.0,0.0,88688.0,T11,1,191692,answer_owner_id,so
109,247.0,0.0,84420.0,T11,1,191692,answer_owner_id,so
110,247.0,0.0,181027.0,T11,1,191692,answer_owner_id,so
111,247.0,0.0,148445.0,T11,1,191692,answer_owner_id,so
112,247.0,0.0,121099.0,T11,1,191692,answer_owner_id,so
113,247.0,0.0,186571.0,T11,1,191692,answer_owner_id,so
114,247.0,0.0,93271.0,T11,1,191692,answer_owner_id,so
115,247.0,0.0,231911.0,T11,1,191692,answer_owner_id,so
116,247.0,0.0,70083.0,T11,1,191692,answer_owner_id,so
117,247.0,0.0,16106.0,T11,1,191692,answer_owner_id,so
118,247.0,0.0,192426.0,T11,1,191692,answer_owner_id,so
119,247.0,0.0,18156.0,T11,1,191692,answer_owner_id,so
120,247.0,0.0,162233.0,T11,1,191692,answer_owner_id,so
121,247.0,0.0,202445.0,T11,1,191692,answer_owner_id,so
122,247.0,0.0,178355.0,T11,1,191692,answer_owner_id,so
123,247.0,0.0,175021.0,T11,1,191692,answer_owner_id,so
124,247.0,0.0,77814.0,T11,1,191692,answer_owner_id,so
125,247.0,0.0,232817.0,T11,1,191692,answer_owner_id,so
126,247.0,0.0,194813.0,T11,1,191692,answer_owner_id,so
127,247.0,0.0,172170.0,T11,1,191692,answer_owner_id,so
128,247.0,0.0,10604.0,T11,1,191692,answer_owner_id,so
129,247.0,0.0,72428.0,T11,1,191692,answer_owner_id,so
130,247.0,0.0,137242.0,T11,1,191692,answer_owner_id,so
131,247.0,0.0,197350.0,T11,1,191692,answer_owner_id,so
132,247.0,0.0,86911.0,T11,1,191692,answer_owner_id,so
133,247.0,0.0,124637.0,T11,1,191692,answer_owner_id,so
134,247.0,0.0,98739.0,T11,1,191692,answer_owner_id,so
135,247.0,0.0,99882.0,T11,1,191692,answer_owner_id,so
136,247.0,0.0,186256.0,T11,1,191692,answer_owner_id,so
137,247.0,0.0,176611.0,T11,1,191692,answer_owner_id,so
138,247.0,0.0,184112.0,T11,1,191692,answer_owner_id,so
139,247.0,0.0,148650.0,T11,1,191692,answer_owner_id,so
140,247.0,0.0,64758.0,T11,1,191692,answer_owner_id,so
141,247.0,0.0,206377.0,T11,1,191692,answer_owner_id,so
142,247.0,0.0,178258.0,T11,1,191692,answer_owner_id,so
143,247.0,0.0,167265.0,T11,1,191692,answer_owner_id,so
144,247.0,0.0,124218.0,T11,1,191692,answer_owner_id,so
145,247.0,0.0,11108.0,T11,1,191692,answer_owner_id,so
146,247.0,0.0,26993.0,T11,1,191692,answer_owner_id,so
147,247.0,0.0,222877.0,T11,1,191692,answer_owner_id,so
148,247.0,0.0,166903.0,T11,1,191692,answer_owner_id,so
149,247.0,0.0,158698.0,T11,1,191692,answer_owner_id,so
150,247.0,0.0,34184.0,T11,1,191692,answer_owner_id,so
151,247.0,0.0,168477.0,T11,1,191692,answer_owner_id,so
152,247.0,0.0,170217.0,T11,1,191692,answer_owner_id,so
153,247.0,0.0,178645.0,T11,1,191692,answer_owner_id,so
154,247.0,0.0,189805.0,T11,1,191692,answer_owner_id,so
155,247.0,0.0,212442.0,T11,1,191692,answer_owner_id,so
156,247.0,0.0,40306.0,T11,1,191692,answer_owner_id,so
157,247.0,0.0,188428.0,T11,1,191692,answer_owner_id,so
